origen,destino,personas,tipo,nivel
010101,070101,15209,nacimiento,municipio
010101,070102,736,nacimiento,municipio
010101,070103,239,nacimiento,municipio
010101,070104,3237,nacimiento,municipio
010101,070105,835,nacimiento,municipio
010101,070201,1513,nacimiento,municipio
010101,070502,233,nacimiento,municipio
010101,070603,8,nacimiento,municipio
010101,071001,912,nacimiento,municipio
010102,070101,793,nacimiento,municipio
010102,070102,43,nacimiento,municipio
010102,070103,10,nacimiento,municipio
010102,070104,119,nacimiento,municipio
010102,070105,138,nacimiento,municipio
010102,070201,84,nacimiento,municipio
010102,070502,16,nacimiento,municipio
010102,071001,34,nacimiento,municipio
010103,070101,339,nacimiento,municipio
010103,070102,26,nacimiento,municipio
010103,070103,10,nacimiento,municipio
010103,070104,301,nacimiento,municipio
010103,070105,26,nacimiento,municipio
010103,070201,62,nacimiento,municipio
010103,070502,7,nacimiento,municipio
010103,071001,18,nacimiento,municipio
010199,070101,3958,nacimiento,provincia
010199,070102,133,nacimiento,provincia
010199,070103,69,nacimiento,provincia
010199,070104,782,nacimiento,provincia
010199,070105,123,nacimiento,provincia
010199,070201,337,nacimiento,provincia
010199,070502,53,nacimiento,provincia
010199,070603,3,nacimiento,provincia
010199,071001,207,nacimiento,provincia
010201,070101,1558,nacimiento,municipio
010201,070102,145,nacimiento,municipio
010201,070103,22,nacimiento,municipio
010201,070104,394,nacimiento,municipio
010201,070105,452,nacimiento,municipio
010201,070201,230,nacimiento,municipio
010201,070502,57,nacimiento,municipio
010201,070603,1,nacimiento,municipio
010201,071001,300,nacimiento,municipio
010202,070101,547,nacimiento,municipio
010202,070102,42,nacimiento,municipio
010202,070103,9,nacimiento,municipio
010202,070104,245,nacimiento,municipio
010202,070105,58,nacimiento,municipio
010202,070201,111,nacimiento,municipio
010202,070502,33,nacimiento,municipio
010202,070603,6,nacimiento,municipio
010202,071001,184,nacimiento,municipio
010299,070101,110,nacimiento,provincia
010299,070102,7,nacimiento,provincia
010299,070103,1,nacimiento,provincia
010299,070104,20,nacimiento,provincia
010299,070105,27,nacimiento,provincia
010299,070201,17,nacimiento,provincia
010299,070502,3,nacimiento,provincia
010299,071001,20,nacimiento,provincia
010301,070101,1670,nacimiento,municipio
010301,070102,131,nacimiento,municipio
010301,070103,8,nacimiento,municipio
010301,070104,449,nacimiento,municipio
010301,070105,274,nacimiento,municipio
010301,070201,322,nacimiento,municipio
010301,070502,31,nacimiento,municipio
010301,071001,174,nacimiento,municipio
010302,070101,454,nacimiento,municipio
010302,070102,57,nacimiento,municipio
010302,070103,7,nacimiento,municipio
010302,070104,202,nacimiento,municipio
010302,070105,77,nacimiento,municipio
010302,070201,144,nacimiento,municipio
010302,070502,12,nacimiento,municipio
010302,071001,28,nacimiento,municipio
010303,070101,629,nacimiento,municipio
010303,070102,50,nacimiento,municipio
010303,070103,5,nacimiento,municipio
010303,070104,391,nacimiento,municipio
010303,070105,69,nacimiento,municipio
010303,070201,124,nacimiento,municipio
010303,070502,13,nacimiento,municipio
010303,071001,29,nacimiento,municipio
010304,070101,433,nacimiento,municipio
010304,070102,52,nacimiento,municipio
010304,070103,1,nacimiento,municipio
010304,070104,152,nacimiento,municipio
010304,070105,23,nacimiento,municipio
010304,070201,94,nacimiento,municipio
010304,070502,32,nacimiento,municipio
010304,071001,58,nacimiento,municipio
010399,070101,50,nacimiento,provincia
010399,070102,5,nacimiento,provincia
010399,070104,12,nacimiento,provincia
010399,070105,8,nacimiento,provincia
010399,070201,8,nacimiento,provincia
010399,070502,1,nacimiento,provincia
010399,071001,5,nacimiento,provincia
010401,070101,1915,nacimiento,municipio
010401,070102,80,nacimiento,municipio
010401,070103,24,nacimiento,municipio
010401,070104,695,nacimiento,municipio
010401,070105,371,nacimiento,municipio
010401,070201,182,nacimiento,municipio
010401,070502,132,nacimiento,municipio
